"breakfest,drink,bake,sale,eat"
"呷尚寶,COCO都可,元米香麵包店,統一超商 金權店,上海飲食店"
"微笑起司,清心福全,五穀雜糧烘焙坊,頂好超市,伍味鍋"
"蘋果203八德忠勇店,美食達人股份有限公司 中壢元化店,美食達人股份有限公司 桃園北興,銘品食品行,四海遊龍 廣德店"
"活力飽早午餐,COCO都可中潭店,雅格麵包坊,台灣屈臣氏個人用品商店股份有限公司 平鎮二分公司,甘泉魚麵"
"拉亞漢堡 桃園中山北店,歐客佬咖啡農場 桃園享福店,D2惡魔蛋糕-桃園楊梅店,統一超商股份有限公司韻翔門市,楚霸王麻辣燙"
"麥味登精緻早餐,甘萃鮮飲 桃園中山店,珈美麵包烘焙坊,錦富百貨有限公司,壢園小吃店"
"拉亞漢堡,美食達人股份有限公司 桃園中山店,巧饌烘焙食品有限公司新屋分公司 ,,有魚小吃店"
"蘋果早餐店,路易莎府前咖啡館,福麥烘焙屋,,麻豆子健康湯鍋 育英店"
"菽元早點,咖碼股份有限公司,谷昌頤食品商行,,南台灣土魠魚羹"
"Miho-中正ㄧ店,COCO都可,蜜糖森林商行,,吉日刀削麵店"
"弘爺漢堡 南華店,美食達人股份有限公司 平鎮文化店,美食達人股份有限公司 南崁南竹店,,老窩咖啡有限公司"
"早安美芝城中正二店,川億通事業有限公司 平鎮文化店,,,麗媽香香鍋"
"玖福包子,COCO都可 三民店,,,金饌生活餐館"
"三民永和豆漿店,銀悅蒔堂,,,吉品飯麵餃子館"
"圓圓堡營養精緻早餐,好了啦紅茶冰-大溪民權,,,今人飲食店"
"拉亞漢堡 桃園後興店,雅嵐股份有限公司 長庚Ⅱ店,,,一五八食堂"
"呷尚寶 帝國店,勝瑀木瓜牛奶,,,屏東肉圓店"
"元氣早餐,好了啦紅茶冰-觀音中正,,,Grand Onion天蔥牛排"
"羽熙早午餐店,柒星咖啡,,,Mr.Onion"
"毅妡商行,""沐泉茶行"
