facilityid,facilityname,reportperiod,vocs,unitsofvocs,tsp,unitsoftsp,sox,unitsofsox,nox,unitsofnox,status,toluene,unitsoftoluene,xylene,unitsofxylene,benzene,unitsofbenzene,ethylbenzene,unitsofethylbenzene,styrene,unitsofstyrene,methylenechloride,unitsofmethylenechloride,11dichloroethane,unitsof11dichloroethane,12dichloroethane,unitsof12dichloroethane,chloroform,unitsofchloroform,111trichloroethane,unitsof111trichloroethane,carbontetrachloride,unitsofcarbontetrachloride,trichloroethylene,unitsoftrichloroethylene,tetrachloroethylene,unitsoftetrachloroethylene,heavymetal,unitsofheavymetal,dioxin,unitsofdioxin
T57A1296,富廣鑫工業有限公司,2022年第1季,0.017,公噸,0.11,公噸,0.036,公噸,0.063,公噸,完成核算,0,公噸,0,公噸,0.001,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800385,祐全產業股份有限公司,2022年第1季,0,公噸,0.001,公噸,0,公噸,0.045,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800349,國統國際股份有限公司,2022年第1季,5.947,公噸,0.434,公噸,0.14,公噸,0.3,公噸,完成核算,0.211,公噸,2.838,公噸,0.518,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800330,金洲海洋科技股份有限公司,2022年第1季,0.19,公噸,0.003,公噸,0.007,公噸,0.083,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800241,懋興鐵工廠,2022年第1季,0,公噸,0,公噸,0.001,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800223,順益木材工業股份有限公司,2022年第1季,0.006,公噸,0.017,公噸,0.001,公噸,0.025,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800205,理成工業股份有限公司,2022年第1季,0,公噸,0,公噸,0,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800161,東立飼料工業股份有限公司,2022年第1季,0,公噸,0.199,公噸,0.095,公噸,0.126,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800134,李長榮實業股份有限公司製桶工廠,2022年第1季,13.962,公噸,0,公噸,0.008,公噸,0.097,公噸,核算確認中,0.221,公噸,5.979,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800125,宏城企業股份有限公司新園廠,2022年第1季,0,公噸,0.002,公噸,0,公噸,0.07,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800116,宏昇螺旋槳股份有限公司,2022年第1季,0,公噸,0.008,公噸,0.076,公噸,0.053,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T57A1632,全興飼料股份有限公司佳冬廠,2022年第1季,0,公噸,0.594,公噸,0,公噸,0.207,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
U0103188,興富發企業有限公司,2022年第1季,0,公噸,1.685,公噸,0,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T57A1404,樺懋科技股份有限公司屏南廠,2022年第1季,0,公噸,0.238,公噸,0,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T5800992,立益飼料有限公司,2022年第1季,0,公噸,0.18,公噸,0.095,公噸,0.066,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T57A1216,聿陽有限公司,2022年第1季,0.001,公噸,0.008,公噸,0.145,公噸,0.11,公噸,完成核算,0.002,公噸,0.001,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T57A1028,欣盛企業股份有限公司枋寮廠,2022年第1季,0,公噸,0.005,公噸,0,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
T57A0901,金皇企業股份有限公司屏南七廠,2022年第1季,0.192,公噸,0,公噸,0,公噸,0,公噸,完成核算,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,公噸,0,"g I-TEQ"
