itemname,category,year,month,itemunit,itemvalue
環保專業人員合格證書有效張數,其他環保統計,109,7,張,233214
環保人員訓練人次,其他環保統計,109,7,人次,2277
環保署環境影響評估報告書完成審查件數,其他環保統計,109,7,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,109,7,件,3
環保署環境影響說明書完成審查件數,其他環保統計,109,7,件,4
環保署環境影響說明書應處理件數,其他環保統計,109,7,件,12
污染源稽查實收罰款金額,其他環保統計,109,7,千元,95998
污染源稽查罰款次數,其他環保統計,109,7,次,25585
污染源稽查次數,其他環保統計,109,7,次,172089
其他對象之公害陳情案件數,公害陳情,109,7,件,4477
一般居民之公害陳情案件數,公害陳情,109,7,件,9585
交通工具之公害陳情案件數,公害陳情,109,7,件,212
營建工程之公害陳情案件數,公害陳情,109,7,件,2013
工業之公害陳情案件數,公害陳情,109,7,件,3302
商業之公害陳情案件數,公害陳情,109,7,件,4182
機關團體學校醫院之公害陳情案件數,公害陳情,109,7,件,187
其他污染公害陳情案件數,公害陳情,109,7,件,104
異味污染物公害陳情案件數,公害陳情,109,7,件,8070
廢棄物及環境衛生公害陳情案件數,公害陳情,109,7,件,8215
噪音公害陳情案件數,公害陳情,109,7,件,6011
水污染公害陳情案件數,公害陳情,109,7,件,650
空氣污染公害陳情案件數,公害陳情,109,7,件,908
公害陳情案件總數,公害陳情,109,7,件,23958
自來水檢驗不合格率,環境衛生及毒化物管理,109,7,%,0.2
垃圾焚化廠焚化(處理)量,廢棄物管理,109,7,公噸,591201
垃圾焚化廠進廠量,廢棄物管理,109,7,公噸,573247
一般廢棄物回收率,廢棄物管理,109,7,%,60.8
衛生掩埋量,廢棄物管理,109,7,公噸,9625
焚化量,廢棄物管理,109,7,公噸,325546
回收再利用量,廢棄物管理,109,7,公噸,532664
一般廢棄物處理量,廢棄物管理,109,7,公噸,867834
平均每人每日廚餘回收量,廢棄物管理,109,7,公斤,0.063
平均每人每日一般廢棄物產生量,廢棄物管理,109,7,公斤,1.198
廚餘回收量,廢棄物管理,109,7,公噸,45943
資源回收量,廢棄物管理,109,7,公噸,486721
一般垃圾量,廢棄物管理,109,7,公噸,343408
一般廢棄物產生量,廢棄物管理,109,7,公噸,876071
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,7,公噸/平方公里/月,3.48
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,7,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,7,ug/m3,28.68
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,7,ppm,0.046
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,7,ppm,0.008
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,7,ppm,0.21
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,7,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,7,ug/m3,17.98
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,7,ug/m3,7.28
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,7,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,7,%,0
AQI>100站日數比率,空氣品質保護,109,7,%,1.18
環保專業人員合格證書有效張數,其他環保統計,109,8,張,234541
環保人員訓練人次,其他環保統計,109,8,人次,2383
環保署環境影響評估報告書完成審查件數,其他環保統計,109,8,件,1
環保署環境影響評估報告書應處理件數,其他環保統計,109,8,件,3
環保署環境影響說明書完成審查件數,其他環保統計,109,8,件,0
環保署環境影響說明書應處理件數,其他環保統計,109,8,件,8
污染源稽查實收罰款金額,其他環保統計,109,8,千元,99119
污染源稽查罰款次數,其他環保統計,109,8,次,26124
污染源稽查次數,其他環保統計,109,8,次,134342
其他對象之公害陳情案件數,公害陳情,109,8,件,4318
一般居民之公害陳情案件數,公害陳情,109,8,件,8598
交通工具之公害陳情案件數,公害陳情,109,8,件,196
營建工程之公害陳情案件數,公害陳情,109,8,件,1865
工業之公害陳情案件數,公害陳情,109,8,件,3120
商業之公害陳情案件數,公害陳情,109,8,件,4286
機關團體學校醫院之公害陳情案件數,公害陳情,109,8,件,164
其他污染公害陳情案件數,公害陳情,109,8,件,70
異味污染物公害陳情案件數,公害陳情,109,8,件,7554
廢棄物及環境衛生公害陳情案件數,公害陳情,109,8,件,7551
噪音公害陳情案件數,公害陳情,109,8,件,6043
水污染公害陳情案件數,公害陳情,109,8,件,595
空氣污染公害陳情案件數,公害陳情,109,8,件,734
公害陳情案件總數,公害陳情,109,8,件,22547
自來水檢驗不合格率,環境衛生及毒化物管理,109,8,%,0
垃圾焚化廠焚化(處理)量,廢棄物管理,109,8,公噸,577371
垃圾焚化廠進廠量,廢棄物管理,109,8,公噸,566166
一般廢棄物回收率,廢棄物管理,109,8,%,58.46
衛生掩埋量,廢棄物管理,109,8,公噸,8924
焚化量,廢棄物管理,109,8,公噸,323742
回收再利用量,廢棄物管理,109,8,公噸,480627
一般廢棄物處理量,廢棄物管理,109,8,公噸,813292
平均每人每日廚餘回收量,廢棄物管理,109,8,公斤,0.062
平均每人每日一般廢棄物產生量,廢棄物管理,109,8,公斤,1.125
廚餘回收量,廢棄物管理,109,8,公噸,45113
資源回收量,廢棄物管理,109,8,公噸,435514
一般垃圾量,廢棄物管理,109,8,公噸,341554
一般廢棄物產生量,廢棄物管理,109,8,公噸,822181
縣市空氣品質一般人工測站落塵量濃度,空氣品質保護,109,8,公噸/平方公里/月,3.1
縣市空氣品質一般人工測站鉛濃度,空氣品質保護,109,8,ug/m3,0.01
縣市空氣品質一般人工測站總懸浮微粒濃度,空氣品質保護,109,8,ug/m3,30.74
環保署空氣品質一般測站臭氧濃度,空氣品質保護,109,8,ppm,0.047
環保署空氣品質一般測站二氧化氮濃度,空氣品質保護,109,8,ppm,0.008
環保署空氣品質一般測站一氧化碳濃度,空氣品質保護,109,8,ppm,0.22
環保署空氣品質一般測站二氧化硫濃度,空氣品質保護,109,8,ppm,0.002
環保署空氣品質一般測站懸浮微粒濃度,空氣品質保護,109,8,ug/m3,20.17
環保署空氣品質一般測站細懸浮微粒(手動)濃度,空氣品質保護,109,8,ug/m3,9.63
AQI>100站日數中主要污染物為PM2.5比率,空氣品質保護,109,8,%,0
AQI>100站日數中主要污染物為臭氧比率,空氣品質保護,109,8,%,0
AQI>100站日數比率,空氣品質保護,109,8,%,1.18
環保專業人員合格證書有效張數,其他環保統計,109,9,張,235579
環保人員訓練人次,其他環保統計,109,9,人次,3102
環保署環境影響評估報告書完成審查件數,其他環保統計,109,9,件,0
環保署環境影響評估報告書應處理件數,其他環保統計,109,9,件,2
環保署環境影響說明書完成審查件數,其他環保統計,109,9,件,1
環保署環境影響說明書應處理件數,其他環保統計,109,9,件,13
污染源稽查實收罰款金額,其他環保統計,109,9,千元,131610
污染源稽查罰款次數,其他環保統計,109,9,次,25157
污染源稽查次數,其他環保統計,109,9,次,150229
其他對象之公害陳情案件數,公害陳情,109,9,件,4785
一般居民之公害陳情案件數,公害陳情,109,9,件,9049
交通工具之公害陳情案件數,公害陳情,109,9,件,181
營建工程之公害陳情案件數,公害陳情,109,9,件,2037
工業之公害陳情案件數,公害陳情,109,9,件,3228
商業之公害陳情案件數,公害陳情,109,9,件,4387
機關團體學校醫院之公害陳情案件數,公害陳情,109,9,件,237
其他污染公害陳情案件數,公害陳情,109,9,件,76
異味污染物公害陳情案件數,公害陳情,109,9,件,8408
廢棄物及環境衛生公害陳情案件數,公害陳情,109,9,件,7294
