No,Address,DeptNm,BranchNm,Contact,ContactNumber
編號,地點位置,管轄警察局,分局,聯繫窗口,聯繫電話
1,承德路橋下堤外便道,臺北市政府警察局,大同分局,葉警員,(02)2553-4657
2,捷運中山站,臺北市政府警察局,大同分局,葉警員,(02)2553-4657
3,捷運中山國中站,臺北市政府警察局,中山分局,顏警員,(02)255-15495
4,捷運松江南京站,臺北市政府警察局,中山分局,顏警員,(02)255-15495
5,捷運南京復興站,臺北市政府警察局,中山分局,顏警員,(02)255-15495
6,捷運忠孝復興站,臺北市政府警察局,大安分局,林警員,(02)2325-5960
7,捷運臺北車站,臺北市政府警察局,中正第一分局,曹警員,(02)2311-7130
8,二二八和平公園,臺北市政府警察局,中正第一分局,曹警員,(02)2311-7130
9,古亭河濱公園一帶,臺北市政府警察局,中正第二分局,朱警員,(02)2375-1617
10,捷運古亭站,臺北市政府警察局,中正第二分局,朱警員,(02)2375-1617
11,華齡公園,臺北市政府警察局,士林分局,黃警員,(02)2882-4284
12,捷運北投站,臺北市政府警察局,北投分局,楊警員,(02)2892-3334
13,民權東路3段103巷一帶,臺北市政府警察局,松山分局,黃警員,(02)2579-6395
14,民生公園,臺北市政府警察局,松山分局,黃警員,(02)2579-6395
15,松廉路段(松仁路至松智路區塊內之廊道及空橋),臺北市政府警察局,信義分局,王警員,(02)2723-4989
16,松壽路段(松智路至松仁路),臺北市政府警察局,信義分局,王警員,(02)2723-4989
17,指南路1段道南橋下涵洞附近,臺北市政府警察局,文山第一分局,李警員,(02)2939-2324
18,捷運萬芳站,臺北市政府警察局,文山第二分局,吳警員,(02)2934-6993
19,捷運南港展覽館站,臺北市政府警察局,南港分局,吳巡官,(02)2782-5093
20,成功路3段154巷,臺北市政府警察局,內湖分局,黃警員,02-27909718
21,新湖一路157號,臺北市政府警察局,內湖分局,黃警員,02-27909718
22,峨嵋街、漢中街口(捷運西門站6號),臺北市政府警察局,萬華分局,羅警員,(02)2375-3990
23,西園路、和平西路口(捷運龍山寺站1號),臺北市政府警察局,萬華分局,羅警員,(02)2375-3990
24,新北市中和區景平路,新北市政府警察局,中和分局,謝警員,(02)2240-0174
25,新北市中和區秀朗路,新北市政府警察局,中和分局,謝警員,(02)224-00174
26,新北市板橋區陽明街,新北市政府警察局,海山分局,林警員,(02)2964-0337
27,新北市板橋區民生路三段,新北市政府警察局,海山分局,林警員,(02)2964-0337
28,新北市板橋區文化路2段,新北市政府警察局,海山分局,林警員,(02)2964-0337
29,新北市新店區碧潭路,新北市政府警察局,新店分局,楊警員,(02)2912-0623
30,新北市新店區中正路,新北市政府警察局,新店分局,楊警員,(02)2912-0623
31,新北市新莊區新泰路,新北市政府警察局,新莊分局,李警員,(02)2994-8519
32,新北市蘆洲區復興路,新北市政府警察局,蘆洲分局,黃警員,(02)2281-0165
33,新北市三重區重陽路,新北市政府警察局,三重分局,郭警員,(02)8981-8904
34,新北市中和區中山路,新北市政府警察局,中和分局,謝警員,02-22400174
35,新北市板橋區民生路,新北市政府警察局,海山分局,林警員,(02)2964-0337
36,新北市三重區中正北路,新北市政府警察局,三重分局,郭警員,(02)8981-8904
37,新北市板橋區重慶路,新北市政府警察局,板橋分局,謝警員,(02)2966-4664
